naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
2413,8.0,700000.0,,1.1863,0.0069,-0.0629,171.92753623188403,True,,,
2413,8.5,700000.0,,1.2498,0.00694,-0.0656,180.0864553314121,True,0.05188,0.080615,
2413,9.0,700000.0,,1.2948,0.00741,-0.0627,174.73684210526315,True,0.041209,0.075096,
2413,9.5,700000.0,,1.3604,0.00738,-0.0655,184.3360433604336,True,0.032529,0.064937,
2413,10.0,700000.0,,1.43,0.00745,-0.0699,191.9463087248322,True,0.02544,0.05595,
2413,10.5,700000.0,,1.48,0.00774,-0.0694,191.2144702842377,True,0.023371,0.05188,0.9967
2413,11.0,700000.0,,1.5537,0.00776,-0.0744,200.21907216494844,True,0.0179,0.048076,0.97926
2413,11.5,700000.0,,1.6115,0.0079,-0.0767,203.98734177215186,True,0.016295,0.041209,0.95774
2413,12.0,700000.0,,1.676,0.00789,-0.0794,212.42078580481623,True,0.014788,0.038115,0.93326
2413,12.5,700000.0,,1.7405,0.00794,-0.083,219.20654911838793,True,0.013372,0.038115,0.89839
2413,13.0,700000.0,,1.8116,0.00803,-0.0893,225.60398505603985,True,0.012042,0.035227,0.87159
2413,13.5,700000.0,,1.876,0.00805,-0.0929,233.04347826086956,True,0.010795,0.032529,0.83556
2413,14.0,700000.0,,1.9404,0.00819,-0.0977,236.92307692307693,True,0.010795,0.030007,0.79031
2413,14.5,700000.0,ayashii,2.0082,0.00828,-0.1042,242.536231884058,True,0.0096252,0.030007,0.74494
2413,15.0,700000.0,ayashii,2.0753,0.00832,-0.1101,249.43509615384616,True,0.0085307,0.027648,0.69951
2413,15.5,700000.0,ayashii,2.149,0.00854,-0.1199,251.63934426229505,True,0.0085307,0.027648,0.65405
2508,6.0,700000.0,,0.9302,0.01,-0.0604,93.02,True,0.0076749,0.031386,
2508,6.5,700000.0,,0.9893,0.01021,-0.0599,96.89520078354553,True,0.0050346,0.026699,
2508,7.0,700000.0,,1.0496,0.01053,-0.0597,99.67711301044636,True,0.0050346,0.022588,
2508,7.5,700000.0,,1.1087,0.01132,-0.0598,97.9416961130742,True,0.0030497,0.01904,
2508,8.0,700000.0,,1.1698,0.01166,-0.0595,100.32590051457976,True,0.0039707,0.01904,
2508,8.5,700000.0,,1.2313,0.012,-0.0592,102.60833333333333,True,0.0030497,0.01904,
2508,9.0,700000.0,,1.2945,0.01227,-0.0591,105.50122249388754,True,0.0030497,0.01904,
2508,9.5,700000.0,,1.3536,0.01221,-0.0588,110.85995085995084,True,0.0030497,0.01904,
2508,10.0,700000.0,ayashii,7.4651,0.00127,-1.803,5878.031496062991,True,0.0022624,0.016006,
2508,10.5,700000.0,,1.476,0.01342,-0.0587,109.98509687034277,True,0.0022624,0.016006,
2508,11.0,700000.0,,1.59,0.0118,-0.0685,134.74576271186442,True,0.0016016,0.01904,
2508,11.5,700000.0,ayashii,9.754,0.00118,-2.387,8266.101694915253,True,0.0016016,0.016006,
2508,12.0,700000.0,ayashii,10.6056,0.00115,-2.6226,9222.260869565218,True,0.0016016,0.013418,1.0
2508,12.5,700000.0,,2.038,0.01008,-0.1357,202.18253968253967,True,0.0016016,0.016006,0.90485
2508,13.0,700000.0,ayashii,12.4617,0.00109,-3.0908,11432.752293577982,True,0.0016016,0.016006,0.77592
2508,13.5,700000.0,,2.1942,0.01632,-0.159,134.4485294117647,True,0.0016016,0.016006,0.63124
2508,14.0,700000.0,ayashii,2.5053,0.0093,-0.1981,269.3870967741936,True,,,0.00032524
2509,6.0,700000.0,,0.9501,0.00853,-0.0644,111.38335287221571,True,0.016952,0.049872,
2509,6.5,700000.0,,0.9954,0.00914,-0.062,108.90590809628007,True,0.012609,0.038928,
2509,7.0,700000.0,,1.0514,0.0097,-0.0621,108.39175257731958,True,0.0092061,0.029797,
2509,7.5,700000.0,,1.1088,0.01001,-0.0616,110.76923076923077,True,0.0065149,0.025952,
2509,8.0,700000.0,,1.1799,0.01041,-0.0646,113.342939481268,True,0.0053868,0.025952,
2509,8.5,700000.0,,1.23,0.01067,-0.0624,115.27647610121836,True,0.0053868,0.022558,
2509,9.0,700000.0,,1.295,0.01095,-0.0633,118.2648401826484,True,0.0043841,0.019574,
2509,9.5,700000.0,,1.3556,0.01134,-0.0637,119.54144620811287,True,0.0043841,0.019574,
2509,10.0,700000.0,,1.4153,0.01194,-0.0645,118.53433835845897,True,0.0034947,0.019574,
2509,10.5,700000.0,,1.4782,0.01241,-0.066,119.11361804995971,True,0.0034947,0.019574,
2509,11.0,700000.0,,1.538,0.01273,-0.0671,120.81696779261587,True,0.0034947,0.016952,
2509,11.5,700000.0,,1.5978,0.01291,-0.0683,123.76452362509684,True,0.0027135,0.016952,1.0
2509,12.0,700000.0,,1.6511,0.01236,-0.0683,133.584142394822,True,0.0027135,0.016952,0.99706
2509,12.5,700000.0,,1.7476,0.0119,-0.0807,146.85714285714286,True,0.0027135,0.016952,0.96563
2509,13.0,700000.0,,1.8593,0.01776,-0.1147,104.6903153153153,True,0.0027135,0.014645,0.92732
2509,13.5,700000.0,ayashii,10.9335,0.00106,-2.7154,10314.622641509435,True,0.0027135,0.014645,0.87283
2509,14.0,700000.0,ayashii,10.5355,0.0011,-2.5832,9577.727272727272,True,0.0020377,0.014645,0.79469
2509,14.5,700000.0,,2.2686,0.01583,-0.1771,143.31017056222365,True,0.0020377,0.016952,0.70847
2509,15.0,700000.0,,2.4432,0.01839,-0.2132,132.8548123980424,True,0.0020377,0.016952,0.60638
2509,15.5,700000.0,ayashii,13.7676,0.00098,-3.4617,14048.57142857143,True,0.0020377,0.016952,0.49639
2510,6.0,700000.0,,0.9692,0.0074,-0.0685,130.97297297297297,True,0.046159,0.062969,
2510,6.5,700000.0,,1.0063,0.00833,-0.065,120.80432172869146,True,0.02605,0.057012,
2510,7.0,700000.0,,1.0597,0.00869,-0.0642,121.94476409666284,True,0.016032,0.046159,
