naca,alpha,Re,shinyou,cl,cd,cm,ld,converged,bubble_start,bubble_end,separation
2410,-5.5,500000.0,,-0.4384,0.01044,-0.0449,-41.992337164750964,True,,,0.83768
2410,-5.0,500000.0,,-0.3945,0.01015,-0.0419,-38.86699507389163,True,,,0.82955
2410,-4.5,500000.0,,-0.3132,0.0103,-0.0449,-30.40776699029126,True,0.82955,0.99699,1.0
2410,-4.0,500000.0,,-0.2869,0.00969,-0.0389,-29.6078431372549,True,0.82955,0.97998,
2410,-3.5,500000.0,,-0.1916,0.00965,-0.045,-19.854922279792746,True,0.82143,0.9659,
2410,-3.0,500000.0,,-0.1133,0.00903,-0.0491,-12.547065337763012,True,0.8133,0.95059,
2410,-2.5,500000.0,,-0.04,0.00835,-0.0528,-4.790419161676647,True,0.80517,0.93474,
2410,-2.0,500000.0,,-0.0035,0.00759,-0.0483,-0.461133069828722,True,0.7889,0.91061,
2410,-1.5,500000.0,,0.0593,0.00698,-0.0497,8.495702005730658,True,0.77263,0.88634,
2410,-1.0,500000.0,,0.1038,0.0066,-0.0466,15.727272727272728,True,0.75634,0.86203,
2410,-0.5,500000.0,,0.18,0.00642,-0.051,28.037383177570092,True,0.74005,0.82955,
2410,0.0,500000.0,,0.2295,0.00661,-0.0495,34.72012102874432,True,0.72376,0.78077,
2410,0.5,500000.0,,0.3164,0.00658,-0.0555,48.08510638297873,True,,,
2410,1.0,500000.0,,0.3871,0.0063,-0.0573,61.44444444444444,True,,,
2410,1.5,500000.0,,0.429,0.0065,-0.0541,66.0,True,,,
2410,2.0,500000.0,,0.5294,0.00732,-0.0644,72.3224043715847,True,,,
2410,2.5,500000.0,,0.5607,0.00701,-0.0593,79.98573466476462,True,,,
2410,3.0,500000.0,,0.5944,0.00641,-0.0543,92.73010920436818,True,,,
2410,3.5,500000.0,,0.6861,0.00731,-0.0631,93.8577291381669,True,,,
2410,4.0,500000.0,,0.7299,0.00684,-0.0601,106.71052631578948,True,,,
2410,4.5,500000.0,,0.7789,0.00693,-0.0587,112.3953823953824,True,,,
2410,5.0,500000.0,,0.843,0.00578,-0.0596,145.8477508650519,True,,,
2410,5.5,500000.0,,0.8996,0.00637,-0.0599,141.22448979591837,True,,,
2410,6.0,500000.0,,0.937,0.00848,-0.0574,110.49528301886794,True,,,
2410,6.5,500000.0,,1.0048,0.00859,-0.0599,116.97322467986028,True,0.04105,0.074958,
2410,7.0,500000.0,,1.0456,0.00926,-0.0555,112.91576673866092,True,0.023092,0.062372,
2410,7.5,500000.0,,1.093,0.00981,-0.0537,111.41692150866463,True,0.016054,0.050968,
2410,8.0,500000.0,,1.1486,0.01019,-0.0535,112.71835132482828,True,0.012421,0.04105,
2410,8.5,500000.0,,1.2087,0.01053,-0.0545,114.7863247863248,True,0.00943,0.036699,
2410,9.0,500000.0,,1.271,0.01096,-0.0555,115.96715328467154,True,0.0081356,0.03275,
2410,9.5,500000.0,,1.3378,0.01141,-0.0572,117.24802804557406,True,0.0069592,0.029185,
2410,10.0,500000.0,,1.4543,0.01026,-0.0673,141.74463937621832,True,0.0058917,0.029185,
2410,10.5,500000.0,,1.4624,0.0119,-0.0598,122.890756302521,True,0.0049252,0.025977,
2410,11.0,500000.0,,1.5828,0.01019,-0.0716,155.3287536800785,True,0.0049252,0.025977,1.0
